Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,abbreviation,alternative label,alternative LaTeX symbol,alternative symbol,commonly has unit,has aggregate function,has base,has base quantity,has base unit,has context,has denominator,has derived quantity,has derived unit,has dimension,has exponent,has factor,has numerator,has numerical value,has off-set,has phenomenon,has point,has prefix,has quantity,has scale,has SI amount of substance dimension exponent,has SI electric current dimension exponent,has SI length dimension exponent,has SI luminous intensity dimension exponent,has SI mass dimension exponent,has SI thermodynamic temperature dimension exponent,has SI time dimension exponent,has term 1,has term 2,has unit,has value,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/isPartOf,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/license,http://purl.org/ontology/bibo/authorList,http://purl.org/ontology/bibo/chapter,http://purl.org/ontology/bibo/degree,http://purl.org/ontology/bibo/edition,http://purl.org/ontology/bibo/isbn10,http://purl.org/ontology/bibo/isbn13,http://purl.org/ontology/bibo/issuer,http://purl.org/ontology/bibo/pageEnd,http://purl.org/ontology/bibo/pageStart,http://purl.org/ontology/bibo/reproducedIn,http://purl.org/ontology/bibo/shortTitle,http://purl.org/ontology/bibo/uri,http://purl.org/ontology/bibo/volume,http://www.w3.org/2004/02/skos/core#hiddenLabel,http://www.wurvoc.org/vocabularies/WV/illustration,http://www.wurvoc.org/vocabularies/WV/logo,http://xmlns.com/foaf/0.1/based_near,http://xmlns.com/foaf/0.1/name,LaTeX command,LaTeX symbol,longcomment,reference,symbol,unofficial abbreviation,unofficial label,uses quantity,uses unit
http://www.ontology-of-units-of-measure.org/resource/om-2/gMagnitude,g magnitude,,g Magnitude in the Thuan and Gunn photometric system.,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/ThuanAndGunnMagnitude,,,,m_g,http://www.ontology-of-units-of-measure.org/resource/om-2/magnitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gMagnitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/SymbolRate,symbol rate,,Symbol rate is the number of symbol changes (signalling events) made to the transmission medium per second using a digitally modulated signal or a line code.,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,modulation rate|baud rate,,,http://www.ontology-of-units-of-measure.org/resource/om-2/baud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SymbolRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/ThermalDiffusivity,thermal diffusivity,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/squareMetrePerSecond-Time,,,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/kinematicViscosityOrThermalDiffusivity-Dimension,,,,,,,,,,,,,,,,,,,,,,ThermalDiffusivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedMetrePrefixedGram,prefixed metre prefixed gram,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/UnitMultiplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PrefixedMetrePrefixedGram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/CompoundUnit,compound unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CompoundUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/MetrePerPrefixedSecond-TimeSquared,metre per prefixed second (time) squared,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/UnitDivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MetrePerPrefixedSecond-TimeSquared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/XanthanMassFraction,xanthan mass fraction,,The fraction of the mass of xanthan in a phenomenon,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/MassFraction,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/percent|http://www.ontology-of-units-of-measure.org/resource/om-2/one|http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerGram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XanthanMassFraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/TotalDensityParameter,total density parameter,,The total density parameter.,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/DensityParameter,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TotalDensityParameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ω_T,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/AlfvenNumber,Alfvén number,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlfvenNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Al,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/MachNumberUnit,Mach number unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MachNumberUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
